1	0.0136
2	0.0246
3	0.0547
4	0.1115
5	0.188
6	0.2842
7	0.4099
8	0.5431
9	0.6967
10	0.8702
11	1.0708
12	1.303
13	1.559
14	1.839
15	2.1455
16	2.472
17	2.822
18	3.2059
19	3.6084
20	4.0385
21	4.492
22	4.966
23	5.465
24	5.989
25	6.539
26	7.112
27	7.709
28	8.333
29	8.979
30	9.659
31	10.367
32	11.103
33	11.867
34	12.658
35	13.474
36	14.326
37	15.2
38	16.105
39	17.038
40	17.998
41	18.986
42	20
43	21.044
44	22.117
45	23.22
46	24.35
47	25.514
48	26.711
49	27.94
50	29.2
51	30.491
52	31.814
53	33.169
54	34.561
55	35.985
56	37.441
57	38.925
58	40.443
59	41.991
60	43.569
61	45.184
62	46.834
63	48.519
64	50.239
65	51.996
66	53.789
67	55.618
68	57.486
69	59.39
70	61.332
71	63.314
72	65.351
73	67.416
74	69.525
75	71.676
76	73.871
77	76.111
78	78.395
79	80.725
80	83.102
81	85.53
82	88.005
83	90.526
84	93.105
85	95.73
86	98.404
87	101.137
88	103.922
89	106.755
90	109.651
91	112.601
92	115.606
